,City,Country,Lat,Lng,Time,Max Temp,Humidity,Cloudiness,Wind Speed
0,São Filipe,CV,14.9,-24.5,1586626009,77.7,69,10,11.54
1,Jamestown,US,42.1,-79.24,1586625840,45.0,55,40,9.17
2,Lensk,RU,60.73,114.93,1586626030,32.99,87,99,7.78
3,Lagos,NG,6.58,3.75,1586625881,89.6,70,20,8.05
4,Papetoai,PF,-17.5,-149.87,1586626030,80.6,78,75,4.7
5,New Norfolk,AU,-42.78,147.06,1586625692,51.8,62,90,16.11
6,Punta Arenas,CL,-53.15,-70.92,1586625687,48.2,66,40,19.46
7,Qaanaaq,GL,77.48,-69.36,1586625665,13.87,78,77,3.33
8,Tuatapere,NZ,-46.13,167.68,1586625761,53.01,77,89,4.0
9,São Filipe,CV,14.9,-24.5,1586626009,77.7,69,10,11.54
10,Jamestown,US,42.1,-79.24,1586625840,45.0,55,40,9.17
11,Lensk,RU,60.73,114.93,1586626030,32.99,87,99,7.78
12,Lagos,NG,6.58,3.75,1586625881,89.6,70,20,8.05
13,Papetoai,PF,-17.5,-149.87,1586626030,80.6,78,75,4.7
14,New Norfolk,AU,-42.78,147.06,1586625692,51.8,62,90,16.11
15,Punta Arenas,CL,-53.15,-70.92,1586625687,48.2,66,40,19.46
16,Qaanaaq,GL,77.48,-69.36,1586625665,13.87,78,77,3.33
17,Tuatapere,NZ,-46.13,167.68,1586625761,53.01,77,89,4.0
18,Hilo,US,19.73,-155.09,1586625871,69.8,77,20,1.28
19,Airai,TL,-8.93,125.41,1586625733,60.96,72,49,1.48
20,Rikitea,PF,-23.12,-134.97,1586625717,76.73,74,94,3.83
21,Nikolskoye,RU,59.7,30.79,1586625738,37.4,74,40,11.18
22,Saskylakh,RU,71.92,114.08,1586625888,4.77,90,87,17.72
23,Ushuaia,AR,-54.8,-68.3,1586625606,48.2,49,40,18.34
24,Udalguri,IN,26.77,92.13,1586626030,78.6,29,26,5.57
25,Maués,BR,-3.38,-57.72,1586626030,80.53,92,99,1.3
26,Opuwo,NA,-18.06,13.84,1586625667,77.5,36,41,6.67
27,Yellowknife,CA,62.46,-114.35,1586625697,12.0,60,20,9.17
28,Busselton,AU,-33.65,115.33,1586625526,69.01,51,100,6.13
29,Lebu,CL,-37.62,-73.65,1586625782,59.7,56,0,16.24
30,Bulgan,MN,48.81,103.53,1586626031,42.39,32,89,4.52
31,Sabang,ID,5.89,95.32,1586626031,82.87,78,26,11.14
32,Satipo,PE,-11.25,-74.64,1586626031,86.54,41,90,1.86
33,Souillac,MU,-20.52,57.52,1586625876,77.0,73,75,13.87
34,Praia,CV,14.92,-23.51,1586626007,84.2,48,2,13.87
35,Gloversville,US,43.05,-74.34,1586626031,48.99,59,90,17.22
36,Albany,US,42.6,-73.97,1586625728,48.2,36,75,20.8
37,Ayan,RU,56.45,138.17,1586626031,31.59,89,0,15.23
38,Hithadhoo,MV,-0.6,73.08,1586625666,85.06,65,49,6.69
39,Flinders,AU,-34.58,150.86,1586625865,55.0,50,3,14.99
40,Vardø,NO,70.37,31.11,1586625555,28.76,89,98,10.45
41,Arraial do Cabo,BR,-22.97,-42.03,1586625736,75.2,83,75,10.29
42,Mataura,NZ,-46.19,168.86,1586625727,53.01,77,100,4.0
43,Maceió,BR,-9.67,-35.74,1586625790,89.6,62,40,12.75
44,Laas,IT,46.62,10.7,1586626031,75.2,41,5,6.93
45,Japura,ID,-0.32,102.35,1586625869,73.89,92,99,0.81
46,Kholm,RU,59.27,32.85,1586626032,31.35,96,95,3.33
47,Bluff,NZ,-46.6,168.33,1586625532,53.01,78,100,4.0
48,Sangar,RU,63.92,127.47,1586626032,26.31,98,100,2.44
49,Kapaa,US,22.08,-159.32,1586625666,73.4,73,1,11.41
50,Grindavik,IS,63.84,-22.43,1586625772,48.2,80,20,21.92
51,Lüderitz,NA,-26.65,15.16,1586625748,77.0,44,0,10.29
52,Faanui,PF,-16.48,-151.75,1586625690,82.94,73,100,9.4
