,City,Country,Lat,Lng,Time,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,-53.15,-70.92,1586636375,48.2,61,40,19.46
1,Hobart,AU,-42.88,147.33,1586636353,50.0,61,90,4.7
2,Avarua,CK,-21.21,-159.78,1586636496,84.2,83,96,5.82
3,Castro,BR,-24.79,-50.01,1586636497,60.94,66,13,2.33
4,Bredasdorp,ZA,-34.53,20.04,1586636497,68.0,68,100,5.82
5,Okhotsk,RU,59.38,143.3,1586636497,25.39,94,35,0.58
6,Cape Town,ZA,-33.93,18.42,1586636366,64.99,93,75,18.34
7,Codrington,AU,-38.27,141.97,1586636497,53.02,71,98,11.23
8,Orapa,BW,-21.28,25.37,1586636497,71.29,38,9,8.21
9,Rikitea,PF,-23.12,-134.97,1586636358,77.04,74,78,1.34
10,Kapaa,US,22.08,-159.32,1586636497,78.8,69,40,6.93
11,Bertoua,CM,4.58,13.68,1586636497,68.83,63,99,3.22
12,Busselton,AU,-33.65,115.33,1586636497,71.01,59,96,8.14
13,Saskylakh,RU,71.92,114.08,1586636498,0.82,90,19,14.94
14,Los Llanos de Aridane,ES,28.66,-17.92,1586636499,68.0,68,20,11.41
15,Aldan,RU,58.6,125.39,1586636499,33.71,73,100,5.44
16,Chyhyryn,UA,49.08,32.66,1586636277,41.11,63,2,11.16
17,Yellowknife,CA,62.46,-114.35,1586636499,17.01,52,20,12.75
18,Lingyuan,CN,41.24,119.4,1586636499,41.76,47,0,7.23
19,Bluff,NZ,-46.6,168.33,1586636499,54.0,70,100,5.01
20,Harper,LR,4.38,-7.72,1586636472,81.25,80,97,4.03
21,Fortuna,US,40.6,-124.16,1586636499,66.0,87,75,9.17
22,Atuona,PF,-9.8,-139.03,1586636499,82.8,68,64,7.47
23,Mataura,NZ,-46.19,168.86,1586636500,54.0,70,100,5.01
24,Linhares,BR,-19.39,-40.07,1586636210,74.93,88,3,4.63
25,Hilo,US,19.73,-155.09,1586636501,82.4,61,1,5.82
26,Noumea,NC,-22.28,166.46,1586636205,73.99,77,31,4.18
27,Yar-Sale,RU,66.83,70.83,1586636501,12.09,93,30,8.19
28,Nanortalik,GL,60.14,-45.24,1586636501,37.58,72,100,28.25
29,Dikson,RU,73.51,80.55,1586636501,14.29,96,100,10.11
30,Tasiilaq,GL,65.61,-37.64,1586636258,30.2,50,72,9.17
31,Asău,RO,46.43,26.4,1586636501,45.0,52,59,4.7
32,Port Alfred,ZA,-33.59,26.89,1586636501,66.99,91,77,5.23
33,Mahébourg,MU,-20.41,57.7,1586636501,78.01,83,75,16.11
34,Hong Kong,HK,22.29,114.16,1586636375,68.0,77,40,16.11
35,Ponta do Sol,PT,32.67,-17.1,1586636501,62.6,77,75,13.87
36,Tuktoyaktuk,CA,69.45,-133.04,1586636502,-2.2,84,75,6.93
37,Teya,RU,60.38,92.63,1586636502,23.14,94,1,3.89
38,Antofagasta,CL,-23.65,-70.4,1586636496,68.0,72,20,12.75
39,Lewisville,US,33.05,-96.99,1586636465,66.2,88,90,14.99
40,Whitecourt,CA,54.15,-115.69,1586636232,24.8,35,75,13.87
41,Rocha,UY,-34.48,-54.33,1586636502,65.37,73,73,6.08
42,Tavda,RU,58.04,65.27,1586636503,35.71,83,33,4.85
43,Airai,TL,-8.93,125.41,1586636453,60.13,72,98,1.01
44,Sandnessjøen,NO,66.02,12.63,1586636504,39.2,60,100,12.75
45,Sidi Ali,DZ,36.1,0.42,1586636504,59.95,71,100,10.78
46,Barrow,US,71.29,-156.79,1586636316,3.2,84,90,10.29
47,Vila,PT,42.03,-8.16,1586636504,57.99,93,20,4.7
48,Cagli,IT,43.55,12.65,1586636504,60.8,66,0,2.24
49,Albany,US,42.6,-73.97,1586636280,46.99,42,75,14.99
50,Carballo,ES,43.21,-8.69,1586636504,55.99,93,75,2.24
51,Port Lincoln,AU,-34.73,135.87,1586636504,56.75,64,81,7.05
52,Torbay,CA,47.67,-52.73,1586636504,41.0,52,40,25.28
53,Mar del Plata,AR,-38.0,-57.56,1586636412,72.0,56,37,12.75
54,Severo-Kuril'sk,RU,50.68,156.12,1586636505,29.23,93,63,8.57
55,Lüderitz,NA,-26.65,15.16,1586636505,57.2,87,0,12.75
56,Manicoré,BR,-5.81,-61.3,1586636505,79.48,92,96,4.83
57,Santa Rosa,PH,14.31,121.11,1586636506,82.4,74,40,2.24
58,Hermanus,ZA,-34.42,19.23,1586636507,64.0,91,100,8.01
59,Buala,SB,-8.14,159.59,1586636507,82.81,77,98,7.56
60,Baranchinskiy,RU,58.16,59.7,1586636507,34.54,81,89,5.06
61,Carnarvon,AU,-24.87,113.63,1586636507,75.2,100,14,11.41
62,Zhob,PK,31.34,69.45,1586636507,67.57,32,71,4.81
63,Lorengau,PG,-2.02,147.27,1586636507,82.27,75,58,1.25
64,Oranjemund,NA,-28.55,16.43,1586636507,59.38,92,27,1.83
65,Loandjili,CG,-4.76,11.86,1586636311,82.4,88,40,5.82
66,Novobirilyussy,RU,56.95,90.67,1586636508,30.49,93,0,4.21
67,Tocopilla,CL,-22.09,-70.2,1586636508,80.37,33,18,5.26
68,Upernavik,GL,72.79,-56.15,1586636508,20.88,89,100,0.98
69,Romny,UA,50.75,33.47,1586636508,37.54,70,0,10.96
70,Grand Gaube,MU,-20.01,57.66,1586636508,78.01,83,75,16.11
71,Marsh Harbour,BS,26.54,-77.06,1586636508,74.23,76,10,15.21
72,Arraial do Cabo,BR,-22.97,-42.03,1586636508,71.6,88,75,4.7
73,Lichinga,MZ,-13.31,35.24,1586636508,59.29,73,85,3.11
74,Ivdel',RU,60.69,60.42,1586636508,35.38,91,100,2.75
75,Siocon,PH,7.71,122.14,1586636508,80.13,68,0,4.36
76,Gondanglegi,ID,-7.75,112.01,1586636508,74.3,86,81,2.13
77,Ostrovnoy,RU,68.05,39.51,1586636464,15.75,93,51,11.48
78,Cherskiy,RU,68.75,161.3,1586636508,13.78,96,100,12.44
79,Beloha,MG,-25.17,45.05,1586636508,73.58,72,89,10.85
80,Bathsheba,BB,13.22,-59.52,1586636508,84.2,62,20,13.87
81,Puerto Ayora,EC,-0.74,-90.35,1586636509,86.0,66,75,11.41
